full_name,team,position,grp,points,qb,rush,recv,def,base,snap_pct,rot_w,years_exp
LaJohntay Wester,BAL,WR,WR,0.02,0.0,0.0,0.0,0.0,0.02,0.061764705882352944,0.0,1
Chigozie Anusiem,LV,DB,DB,0.02,0.0,0.0,0.0,0.0,0.02,0.04125,0.0,2
Darius Rush,WAS,DB,DB,0.02,0.0,0.0,0.0,0.01,0.02,0.03709401709401709,0.0,3
Jamie Sheriff,SEA,LB,LB,0.02,0.0,0.0,0.0,0.0,0.02,0.048749999999999995,0.0,2
Mohamed Kamara,TB,LB,LB,0.02,0.0,0.0,0.0,0.0,0.02,0.048166666666666656,0.0,2
Bo Richter,MIN,LB,LB,0.02,0.0,0.0,0.0,0.01,0.02,0.04211764705882354,0.0,2
Jack Kiser,JAX,LB,LB,0.02,0.0,0.0,0.0,0.0,0.02,0.047142857142857146,0.0,1
Connor O'Toole,SEA,LB,LB,0.02,0.0,0.0,0.0,0.0,0.02,0.045454545454545456,0.0,1
Jordan James,SF,RB,RB,0.02,0.0,-0.0,0.01,0.0,0.01,0.05600000000000001,0.0,1
Jackson Meeks,DET,WR,WR,0.02,0.0,0.0,0.0,0.0,0.02,0.045000000000000005,0.0,1
Tanner McCalister,KC,DB,DB,0.02,0.0,0.0,0.0,0.0,0.02,0.03070175438596491,0.0,3
Jalen Graham,SF,LB,LB,0.02,0.0,0.0,0.0,0.01,0.01,0.02615384615384615,0.0,3
Frank Gore Jr.,BUF,RB,RB,0.02,0.0,0.0,0.01,0.0,0.01,0.03,0.0,2
Aaron Jones,MIN,RB,RB,0.01,0.0,-0.15,0.01,0.0,0.14,0.5752298055974526,0.65,9
Josh Hayes,TB,DB,DB,0.01,0.0,0.0,0.0,-0.03,0.04,0.08714555052790346,0.0,3
Colton Dowell,SF,WR,WR,0.01,0.0,0.0,-0.02,0.0,0.03,0.08800000000000001,0.0,3
Marcellas Dial Jr.,NE,DB,DB,0.01,0.0,0.0,0.0,-0.02,0.03,0.05235294117647058,0.0,2
Brandon Smith,PIT,WR,WR,0.01,0.0,0.0,0.0,0.0,0.01,0.041875,0.0,5
Jordan Turner,DEN,LB,LB,0.01,0.0,0.0,0.0,0.0,0.01,0.035555555555555556,0.0,1
Isaiah Neyor,GB,WR,WR,0.01,0.0,0.0,0.0,0.0,0.01,0.04,0.0,1
Levelle Bailey,DEN,LB,LB,0.01,0.0,0.0,0.0,0.0,0.01,0.034249999999999996,0.0,2
Branson Combs,JAX,LB,LB,0.01,0.0,0.0,0.0,-0.01,0.02,0.04181818181818182,0.0,1
Jarrick Bernard-Converse,NYG,DB,DB,0.01,0.0,0.0,0.0,0.0,0.01,0.02406135531135531,0.0,3
Cam Jones,NYG,LB,LB,0.01,0.0,0.0,0.0,0.0,0.01,0.029464387464387464,0.0,3
Jarius Monroe,NYJ,DB,DB,0.01,0.0,0.0,0.0,0.0,0.01,0.0235,0.0,2
Zion Childress,DAL,DB,DB,0.01,0.0,0.0,0.0,0.0,0.01,0.023333333333333334,0.0,1
Dalen Cambre,NYG,WR,WR,0.01,0.0,0.0,0.0,0.0,0.01,0.032857142857142856,0.0,1
JL Skinner,DEN,DB,DB,0.01,0.0,0.0,0.0,0.0,0.01,0.022364672364672364,0.0,3
Jammie Robinson,ATL,DB,DB,0.01,0.0,0.0,0.0,0.0,0.01,0.02116239316239316,0.0,3
Rashad Wisdom,TB,DB,DB,0.01,0.0,0.0,0.0,0.0,0.01,0.02,0.0,2
Thomas Fidone II,NYG,TE,TE,0.01,0.0,0.0,0.0,0.0,0.01,0.032857142857142856,0.0,1
Tariq Castro-Fields,PHI,DB,DB,0.01,0.0,0.0,0.0,0.0,0.01,0.01923913043478261,0.0,4
Patrick McMorris,SF,DB,DB,0.01,0.0,0.0,0.0,0.0,0.01,0.016666666666666666,0.0,2
Chris Edmonds,CLE,DB,DB,0.01,0.0,0.0,0.0,0.0,0.01,0.016527777777777777,0.0,2
PJ Jules,CIN,DB,DB,0.01,0.0,0.0,0.0,0.01,0.0,0.009285714285714286,0.0,2
Chance Campbell,PHI,LB,LB,0.01,0.0,0.0,0.0,0.0,0.01,0.0175,0.0,4
Dominic Lovett,DET,WR,WR,0.01,0.0,0.0,0.0,0.0,0.01,0.01833333333333333,0.0,1
Kristian Welch,GB,LB,LB,0.01,0.0,0.0,0.0,0.0,0.01,0.015984204793028322,0.0,6
Myles Price,MIN,WR,WR,0.01,0.0,0.0,0.0,0.0,0.01,0.018125000000000002,0.0,1
Smael Mondon Jr.,PHI,LB,LB,0.01,0.0,0.0,0.0,0.0,0.01,0.015000000000000001,0.0,1
Brenden Rice,GB,WR,WR,0.01,0.0,0.0,0.0,0.0,0.01,0.016666666666666666,0.0,2
Easton Mascarenas-Arnold,CLE,LB,LB,0.01,0.0,0.0,0.0,0.0,0.01,0.01375,0.0,1
Andre' Sam,PHI,DB,DB,0.01,0.0,0.0,0.0,0.0,0.01,0.010937500000000001,0.0,2
DeeJay Dallas,JAX,RB,RB,0.01,-0.06,0.1,-0.09,0.03,0.02,0.07899237472766885,0.0,6
Mike Woods,DEN,WR,WR,-0.0,0.0,-0.04,-0.2,0.0,0.24,0.6875,0.0,4
Shane Zylstra,BUF,TE,TE,-0.0,0.0,0.0,-0.09,0.0,0.09,0.2950101214574899,0.0,5
Jelani Woods,NYJ,TE,TE,-0.0,0.0,0.0,-0.08,0.0,0.07,0.2459166666666667,0.0,4
Israel Abanikanda,DAL,RB,RB,0.0,0.0,-0.04,-0.01,0.0,0.05,0.19166666666666665,0.0,3
Derius Davis,LAC,WR,WR,0.0,0.0,-0.08,0.03,0.0,0.04,0.126500754147813,0.0,3
Corey Kiner,ARI,RB,RB,0.0,0.0,0.04,-0.08,0.0,0.03,0.1325,0.0,1
Carter Runyon,LV,TE,TE,0.0,0.0,0.0,-0.02,0.0,0.02,0.0623076923076923,0.0,1
Shaka Heyward,CIN,LB,LB,0.0,0.0,0.0,0.0,-0.01,0.02,0.043125000000000004,0.0,3
Art Green,NYG,DB,DB,0.0,0.0,0.0,0.0,-0.01,0.02,0.03083333333333333,0.0,3
Nick Martin,SF,LB,LB,-0.0,0.0,0.0,0.0,-0.01,0.01,0.02857142857142857,0.0,1
British Brooks,HOU,RB,RB,-0.0,0.0,-0.02,0.0,0.0,0.01,0.046867647058823535,0.0,2
Tanner Ingle,LA,DB,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,3
Amari Gainer,NE,LB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,2
Julius Wood,DAL,DB,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.007777777777777778,0.0,2
Beau Brade,NYG,DB,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.006893939393939393,0.0,2
Gervarrius Owens,CHI,DB,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.006315789473684211,0.0,3
Jay Higgins,BAL,LB,LB,-0.0,0.0,0.0,0.0,-0.01,0.01,0.012727272727272728,0.0,1
John Bullock,TB,LB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,1
Channing Tindall,ATL,LB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.005897118537337414,0.0,4
Princeton Fant,DAL,TE,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.006923076923076922,0.0,3
Jaylan Ford,NO,LB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.004044117647058823,0.0,2
Karene Reid,DEN,LB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,1
Dante Miller,NYG,RB,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.1,2
Jon Rhattigan,CHI,LB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0024542483660130714,0.0,5
Carson Bruener,PIT,LB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0011111111111111111,0.0,1
Cody Schrader,DEN,RB,RB,-0.0,0.0,-0.02,0.02,0.0,0.0,0.005624999999999999,0.0,2
Reese Taylor,DEN,DB,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Lew Nichols III,PIT,RB,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Jackson Sirmon,NO,LB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Ja'Markis Weston,SEA,LB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Ale Kaho,WAS,LB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Dominique Hampton,CHI,DB,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Elias Neal,LA,LB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Kain Medrano,WAS,LB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Jeshaun Jones,MIN,WR,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Josh Ross,MIN,LB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Kalen King,ARI,DB,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Carl Jones,BAL,LB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Jackson Woodard,MIA,LB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Carlos Washington,MIA,RB,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Trevian Thomas,JAX,DB,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Jarquez Hunter,LA,RB,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Cole Christiansen,KC,LB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
JP Richardson,CHI,WR,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Cody Lindenberg,LV,LB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Brennan Presley,LA,WR,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Sebastian Castro,PIT,DB,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Zemaiah Vaughn,MIN,DB,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Justin Barron,DAL,LB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Cam Lampkin,LA,DB,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Omarion Hampton,LAC,RB,RB,-0.01,0.0,-0.15,0.0,0.0,0.14,0.5740000000000001,0.3,1
Jack Bech,LV,WR,WR,-0.01,0.0,0.0,-0.15,0.0,0.14,0.3975,0.0,1
J.K. Dobbins,DEN,RB,RB,-0.01,0.0,0.12,-0.27,0.0,0.13,0.5302879291251384,0.65,6
Jaylon Jones,CHI,DB,DB,-0.01,0.0,0.0,0.0,-0.07,0.06,0.12130300957592341,0.0,4
